Station,Climate Zone,State,Latitude,Longitude,Elevation,LongDate,Year,Month,Day,Season,Tmin,Tmax,AWND,WDF5,Snow,SNWD,PRCP
MT SHASTA,16,CA,41.3325,-122.3328,1077.5,2017-01-05,2017,01,05,Winter,7.16,24.26,3.579104,360,0,0,0
MT SHASTA,16,CA,41.3325,-122.3328,1077.5,2017-04-14,2017,04,14,Spring,25.16,48.92,1.11847,360,0,0,0
MT SHASTA,16,CA,41.3325,-122.3328,1077.5,2017-05-19,2017,05,19,Spring,39.92,80.96,2.460634,360,0,0,0
MT SHASTA,16,CA,41.3325,-122.3328,1077.5,2017-06-30,2017,06,30,Spring,51.08,93.02,2.23694,360,0,0,0
MT SHASTA,16,CA,41.3325,-122.3328,1077.5,2017-07-15,2017,07,15,Summer,53.96,91.94,2.908022,360,0,0,0
MT SHASTA,16,CA,41.3325,-122.3328,1077.5,2017-07-28,2017,07,28,Summer,53.96,93.92,1.789552,360,0,0,0
MT SHASTA,16,CA,41.3325,-122.3328,1077.5,2017-09-17,2017,09,17,Summer,41,77,0.447388,360,0,0,0
RED BLUFF MUNI AP,11,CA,40.1519,-122.2536,107.6,2017-01-06,2017,01,06,Winter,26.24,46.94,5.59235,360,0,0,0
RED BLUFF MUNI AP,11,CA,40.1519,-122.2536,107.6,2017-01-12,2017,01,12,Winter,39.92,51.98,7.381902,360,0,0,0.16141741
RED BLUFF MUNI AP,11,CA,40.1519,-122.2536,107.6,2017-01-24,2017,01,24,Winter,37.94,55.94,7.158208,360,0,0,0.0393701
RED BLUFF MUNI AP,11,CA,40.1519,-122.2536,107.6,2017-01-27,2017,01,27,Winter,35.06,62.06,8.052984,360,0,0,0
RED BLUFF MUNI AP,11,CA,40.1519,-122.2536,107.6,2017-02-11,2017,02,11,Winter,44.06,62.96,12.079476,360,0,0,0
RED BLUFF MUNI AP,11,CA,40.1519,-122.2536,107.6,2017-02-12,2017,02,12,Winter,42.08,69.98,7.82929,360,0,0,0
